Source No.,Cylinders,Bracket Count
D00140,91,91
D02284,76,76
D01519,50,50
D02627,41,41
D00415,32,32
D00693,31,31
D00490,30,30
D02150,28,28
D02447,27,27
D01506,25,25
D02569,25,25
D02703,25,25
D00358,24,24
D02135,24,24
D02369,24,24
D00218,21,21
D00536,20,20
D01064,20,20
D01356,20,20
D02190,20,20
D02480,20,20
D00401,19,19
D01151,19,19
D00094,16,16
D00209,16,16
D00446,16,16
D01165,16,16
D00999,15,15
D01150,15,15
D01407,15,15
D01744,15,15
D02156,15,15
D00165,12,12
D00439,12,12
D00593,12,12
D01143,12,12
D01334,12,12
D01389,12,12
D01838,12,12
D01789,11,11
D02510,11,11
D00832,10,10
D00978,10,10
D01029,10,10
D01484,10,10
D01485,10,10
D01558,10,10
D02471,10,10
D02537,10,10
D00238,9,9
D00212,8,8
D00326,8,8
D00408,8,8
D00505,8,8
D02519,8,8
D00031,7,7
D00090,7,7
D00389,7,7
D02713,7,7
D02784,7,7
D00532,6,6
D00716,6,6
D00843,6,6
D01000,6,6
D01357,6,6
D01801,6,6
D01841,6,6
D02556,6,6
D02601,6,6
D02751,6,6
D02769,6,6
D00202,5,5
D00594,5,5
D00779,5,5
D00844,5,5
D00907,5,5
D01175,5,5
D01257,5,5
D01526,5,5
D01840,5,5
D02085,5,5
D02297,5,5
D02390,5,5
D02426,5,5
D02573,5,5
D02649,5,5
D02702,5,5
D02786,5,5
D00085,4,4
D00199,4,4
D00290,4,4
D00365,4,4
D00484,4,4
D00614,4,4
D00781,4,4
D00795,4,4
D00859,4,4
D01195,4,4
D01230,4,4
D01276,4,4
D01588,4,4
D01865,4,4
D01889,4,4
D02189,4,4
D02245,4,4
D02311,4,4
D02410,4,4
D02533,4,4
D02604,4,4
D02607,4,4
D02651,4,4
D02666,4,4
D02692,4,4
D02757,4,4
D00088,3,3
D00115,3,3
D00144,3,3
D00491,3,3
D00748,3,3
D00762,3,3
D01087,3,3
D01105,3,3
D01167,3,3
D01178,3,3
D01429,3,3
D01532,3,3
D01583,3,3
D01713,3,3
D01804,3,3
D01806,3,3
D01859,3,3
D01871,3,3
D01874,3,3
D01886,3,3
D01888,3,3
D01891,3,3
D01948,3,3
D01950,3,3
D02054,3,3
D02227,3,3
D02367,3,3
D02419,3,3
D02435,3,3
D02523,3,3
D02558,3,3
D02672,3,3
D02739,3,3
D02763,3,3
D02779,3,3
D00104,2,2
D00155,2,2
D00220,2,2
D00224,2,2
D00230,2,2
D00233,2,2
D00237,2,2
D00410,2,2
D00557,2,2
D00601,2,2
D00727,2,2
D00873,2,2
D00926,2,2
D00974,2,2
D01003,2,2
D01016,2,2
D01052,2,2
D01073,2,2
D01142,2,2
D01160,2,2
D01161,2,2
D01258,2,2
D01335,2,2
D01436,2,2
D01606,2,2
D01688,2,2
D01830,2,2
D01831,2,2
D01833,2,2
D01846,2,2
D01855,2,2
D01856,2,2
D01857,2,2
D01866,2,2
D01869,2,2
D01875,2,2
D01945,2,2
D01949,2,2
D02040,2,2
D02055,2,2
D02060,2,2
D02260,2,2
D02330,2,2
D02441,2,2
D02470,2,2
D02474,2,2
D02526,2,2
D02548,2,2
D02571,2,2
D02641,2,2
D02704,2,2
D02742,2,2
D02744,2,2
D02756,2,2
D02789,2,2
D00038,1,1
D00040,1,1
D00087,1,1
D00113,1,1
D00126,1,1
D00156,1,1
D00167,1,1
D00204,1,1
D00210,1,1
D00252,1,1
D00260,1,1
D00269,1,1
D00323,1,1
D00350,1,1
D00352,1,1
D00405,1,1
D00421,1,1
D00455,1,1
D00460,1,1
D00472,1,1
D00477,1,1
D00497,1,1
D00624,1,1
D00646,1,1
D00658,1,1
D00669,1,1
D00712,1,1
D00782,1,1
D00785,1,1
D00809,1,1
D00817,1,1
D00824,1,1
D00862,1,1
D00934,1,1
D01048,1,1
D01095,1,1
D01103,1,1
D01130,1,1
D01222,1,1
D01233,1,1
D01371,1,1
D01486,1,1
D01498,1,1
D01509,1,1
D01521,1,1
D01530,1,1
D01549,1,1
D01574,1,1
D01586,1,1
D01747,1,1
D01751,1,1
D01837,1,1
D01849,1,1
D01867,1,1
D01868,1,1
D01892,1,1
D01894,1,1
D01908,1,1
D01913,1,1
D01919,1,1
D01929,1,1
D01938,1,1
D01952,1,1
D01960,1,1
D01966,1,1
D01976,1,1
D01978,1,1
D01990,1,1
D02001,1,1
D02004,1,1
D02041,1,1
D02066,1,1
D02080,1,1
D02107,1,1
D02131,1,1
D02152,1,1
D02157,1,1
D02167,1,1
D02198,1,1
D02317,1,1
D02344,1,1
D02366,1,1
D02392,1,1
D02398,1,1
D02436,1,1
D02439,1,1
D02476,1,1
D02484,1,1
D02504,1,1
D02505,1,1
D02513,1,1
D02524,1,1
D02536,1,1
D02581,1,1
D02600,1,1
D02640,1,1
D02680,1,1
D02707,1,1
D02723,1,1
D02758,1,1
D02760,1,1
D02761,1,1
D02764,1,1
D02771,1,1
D02772,1,1
D02781,1,1
